Y_Venda_Total_Colecao,X_Venda_30_Dias,X_Categoria,X_Cluster_Loja,X_Cor_Agrupada,X_Preco_Cheio,X_Tipo_Colecao,ID_Produto,Descricao_Produto
1,0,BOLSA,SACADA BARRA SHOPPING,LISTRADO  CA,1,PV,1035009,MALA SACADA KHASI
1,1,BOLSA,SACADA LARGO MACHADO,LISTRADO  CA,1,PV,1035009,MALA SACADA KHASI
1,0,BOLSA,SACADA PLAZA C.FORTE,LISTRADO  CA,1,PV,1035009,MALA SACADA KHASI
0,0,BOLSA,SACADA ICARAI,AZUL JEANS,1,PV,1035009,MALA SACADA KHASI
5,1,BLUSAS,SACADA CENTRO,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
6,1,BLUSAS,SACADA COPACABANA,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
4,2,BLUSAS,SACADA IPANEMA(550),OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
5,0,BLUSAS,SACADA LARGO MACHADO,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
14,8,BLUSAS,SACADA RDL,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
5,0,BLUSAS,SACADA PLAZA NITEROI,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
9,1,BLUSAS,SACADA SHOPP. RIO SUL,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
8,2,BLUSAS,SACADA RDB,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
5,4,BLUSAS,SACADA SHOPP. LEBLON,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
8,2,BLUSAS,SACADA OSCAR FREIRE,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
3,1,BLUSAS,SACADA JUIZ DE FORA,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
5,2,BLUSAS,SACADA SHOPP.RIO MAR,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
4,0,BLUSAS,SACADA IGUATEMI SALVA,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
16,8,BLUSAS,SACADA BARRA SHOPPING,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
4,0,BLUSAS,SACADA BARRA SALVADOR,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
7,2,BLUSAS,SACADA SALVADOR SHOPP,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
3,0,BLUSAS,SACADA BOULEVARD SHOPP,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
6,0,BLUSAS,SACADA SHOPP. RECIFE,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
9,0,BLUSAS,SACADA SHOPP.RIO MAR,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
6,1,BLUSAS,SACADA PATIO SAVASSI,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
6,0,BLUSAS,SACADA IGUATEMI FORTAL,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
7,2,BLUSAS,SACADA SHOPP.TIJUCA,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
1,0,BLUSAS,EST EXP. SITE SACADA,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
6,1,BLUSAS,SACADA FLAMBOYANT SHOP,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
5,2,BLUSAS,SACADA SHOPP.GOIANIA,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
8,1,BLUSAS,SACADA PLAZA C.FORTE,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
1,0,BLUSAS,OUTLET CATARINA,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
14,4,BLUSAS,SACADA ICARAI,OFF FRIO,398,PV,1040999,REGATA TRICOT RAYON
4,0,BLUSAS,SACADA FLAMBOYANT SHOP,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
18,10,BLUSAS,SACADA BARRA SHOPPING,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
7,2,BLUSAS,SACADA CENTRO,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
2,1,BLUSAS,SACADA COPACABANA,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
15,4,BLUSAS,SACADA ICARAI,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
3,2,BLUSAS,SACADA IPANEMA(550),BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
6,3,BLUSAS,SACADA LARGO MACHADO,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
11,8,BLUSAS,SACADA RDL,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
7,1,BLUSAS,SACADA SHOPP.GOIANIA,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
8,4,BLUSAS,SACADA SHOPP. RIO SUL,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
8,2,BLUSAS,SACADA RDB,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
5,1,BLUSAS,SACADA SHOPP. LEBLON,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
5,1,BLUSAS,SACADA OSCAR FREIRE,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
4,1,BLUSAS,SACADA JUIZ DE FORA,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
4,1,BLUSAS,SACADA PLAZA NITEROI,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
6,0,BLUSAS,SACADA PLAZA C.FORTE,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
6,2,BLUSAS,SACADA SHOPP.RIO MAR,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
8,3,BLUSAS,SACADA SHOPP.TIJUCA,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
1,1,BLUSAS,SACADA IGUATEMI FORTAL,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
4,1,BLUSAS,SACADA PATIO SAVASSI,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
8,1,BLUSAS,SACADA SHOPP.RIO MAR,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
5,2,BLUSAS,EST EXP. SITE SACADA,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
3,1,BLUSAS,SACADA BOULEVARD SHOPP,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
4,1,BLUSAS,SACADA SALVADOR SHOPP,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
3,0,BLUSAS,SACADA BARRA SALVADOR,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
5,0,BLUSAS,SACADA IGUATEMI SALVA,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
6,1,BLUSAS,SACADA SHOPP. RECIFE,BEGE VIME,398,PV,1040999,REGATA TRICOT RAYON
2,0,BIJUTERIA,SACADA IGUATEMI SALVA,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
1,1,BIJUTERIA,SACADA SALVADOR SHOPP,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
3,0,BIJUTERIA,SACADA BOULEVARD SHOPP,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
1,2,BIJUTERIA,SACADA SHOPP. RECIFE,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
3,1,BIJUTERIA,SACADA SHOPP.RIO MAR,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
1,0,BIJUTERIA,SACADA IGUATEMI FORTAL,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
4,2,BIJUTERIA,SACADA SHOPP.TIJUCA,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
0,0,BIJUTERIA,SACADA FLAMBOYANT SHOP,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
1,1,BIJUTERIA,SACADA SHOPP.GOIANIA,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
2,1,BIJUTERIA,SACADA PLAZA C.FORTE,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
2,0,BIJUTERIA,SACADA PATIO SAVASSI,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
1,1,BIJUTERIA,SACADA SHOPP.RIO MAR,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
2,2,BIJUTERIA,SACADA BARRA SALVADOR,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
2,1,BIJUTERIA,SACADA OSCAR FREIRE,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
4,1,BIJUTERIA,SACADA CENTRO,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
1,1,BIJUTERIA,SACADA COPACABANA,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
5,0,BIJUTERIA,SACADA ICARAI,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
1,0,BIJUTERIA,SACADA IPANEMA(550),OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
2,0,BIJUTERIA,SACADA LARGO MACHADO,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
4,0,BIJUTERIA,SACADA BARRA SHOPPING,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
2,0,BIJUTERIA,SACADA PLAZA NITEROI,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
3,1,BIJUTERIA,SACADA SHOPP. RIO SUL,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
2,0,BIJUTERIA,SACADA JUIZ DE FORA,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
5,1,BIJUTERIA,SACADA RDB,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
3,2,BIJUTERIA,SACADA SHOPP. LEBLON,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
5,4,BIJUTERIA,SACADA RDL,OURO FOSCO,288,PV,1041325,PULSEIRA CORRENTE
9,3,VESTIDOS,SACADA SALVADOR SHOPP,OURO,868,PV,1041393,VESTIDO LONGO TAFETA TRANCADO
